sheepx,sheepy,wolfx,wolfy
0,100,0,50
1,112,1,53
2,121,2,52
3,126,3,52
4,142,4,53
5,156,5,54
6,168,6,55
7,179,7,55
8,200,8,49
9,222,9,46
10,240,10,48
11,265,11,47
12,293,12,46
13,320,13,47
14,340,14,47
15,362,15,47
16,389,16,50
17,432,17,52
18,467,18,53
19,505,19,57
20,563,20,60
21,616,21,62
22,680,22,62
23,733,23,64
24,793,24,68
25,852,25,68
26,934,26,74
27,1007,27,76
28,1073,28,79
29,1168,29,80
30,1263,30,85
31,1340,31,89
32,1447,32,93
33,1585,33,98
34,1713,34,102
35,1822,35,106
36,1944,36,108
37,2074,37,114
38,2212,38,120
39,2389,39,124
40,2565,40,130
41,2746,41,139
42,2902,42,144
43,3112,43,150
44,3302,44,161
45,3519,45,169
46,3757,46,174
47,4027,47,189
48,4279,48,193
49,4576,49,206
50,4835,50,214
51,5157,51,221
52,5497,52,231
53,5842,53,244
54,6230,54,258
55,6694,55,270
56,7146,56,288
57,7575,57,299
58,8047,58,312
59,8527,59,324
60,9032,60,340
61,9573,61,354
62,10228,62,373
63,10946,63,392
64,11644,64,422
65,12384,65,442
66,13216,66,474
67,14068,67,497
68,14950,68,519
69,15965,69,547
