sheapx,sheapy,wolfx,wolfy,grassx,grassy
0,35,0,250,0,332
1,30,1,307,1,331.5
2,27,2,378,2,330.75
3,25,3,454,3,330
4,19,4,542,4,330
5,18,5,638,5,331.25
6,12,6,757,6,331.75
7,8,7,891,7,333.5
8,4,8,1018,8,335
9,4,9,1187,9,338.5
10,3,10,1328,10,341.5
11,2,11,1457,11,344
12,1,12,1569,12,346.75
13,0,13,1645,13,349
14,0,14,1701,14,353
15,0,15,1646,15,356.75
16,0,16,1626,16,359.5
17,0,17,1506,17,361.25
18,0,18,1430,18,364.5
19,0,19,1315,19,366.25
20,0,20,1215,20,369.75
21,0,21,1121,21,372.5
22,0,22,1036,22,375.5
23,0,23,906,23,379.75
24,0,24,782,24,382.5
25,0,25,748,25,385.25
26,0,26,668,26,388.5
27,0,27,602,27,392.5
28,0,28,521,28,393.5
29,0,29,431,29,396.5
30,0,30,389,30,399.75
31,0,31,357,31,402
32,0,32,357,32,406
33,0,33,326,33,408.25
34,0,34,271,34,411
35,0,35,227,35,413
36,0,36,184,36,416.25
37,0,37,144,37,419.5
38,0,38,98,38,423.5
39,0,39,88,39,426.5
40,0,40,81,40,430.25
41,0,41,61,41,433.5
42,0,42,57,42,437.25
43,0,43,42,43,441
44,0,44,43,44,444.25
45,0,45,31,45,447
46,0,46,7,46,448.75
47,0,47,7,47,451.75
48,0,48,9,48,454.5
49,0,49,11,49,457.25
50,0,50,6,50,460
51,0,51,3,51,463.25
52,0,52,3,52,468.25
53,0,53,2,53,471
54,0,54,3,54,473.5
55,0,55,1,55,476.25
56,0,56,1,56,479.5
57,0,57,0,57,481
